company_name,lever_slug,lever_jobs_url,lever_api_url,source_dataset,first_seen_in_dataset,last_seen_in_dataset,job_count_in_dataset,validated,validated_at,validation_status
Thepieexecsearch,thepieexecsearch,https://jobs.lever.co/thepieexecsearch,https://api.lever.co/v0/postings/thepieexecsearch?mode=json,open-apply-jobs,2023-01-24,2026-06-25,557,,,
Therealdeal,therealdeal,https://jobs.lever.co/therealdeal,https://api.lever.co/v0/postings/therealdeal?mode=json,open-apply-jobs,2022-02-03,2026-06-02,731,,,
Thesalesfactory,thesalesfactory,https://jobs.lever.co/thesalesfactory,https://api.lever.co/v0/postings/thesalesfactory?mode=json,open-apply-jobs,2021-08-26,2026-05-12,768,,,
Thetrevorproject,thetrevorproject,https://jobs.lever.co/thetrevorproject,https://api.lever.co/v0/postings/thetrevorproject?mode=json,open-apply-jobs,2026-02-09,2026-06-17,323,,,
Thiga,thiga,https://jobs.lever.co/thiga,https://api.lever.co/v0/postings/thiga?mode=json,open-apply-jobs,2020-02-28,2026-05-07,1145,,,
Thimble,thimble,https://jobs.lever.co/thimble,https://api.lever.co/v0/postings/thimble?mode=json,open-apply-jobs,2026-04-23,2026-04-23,26,,,
Thinkahead,thinkahead,https://jobs.lever.co/thinkahead,https://api.lever.co/v0/postings/thinkahead?mode=json,open-apply-jobs,2017-08-30,2026-06-25,8107,,,
Thinkingbox,thinkingbox,https://jobs.lever.co/thinkingbox,https://api.lever.co/v0/postings/thinkingbox?mode=json,open-apply-jobs,2025-01-29,2026-06-19,1672,,,
Threattec,threattec,https://jobs.lever.co/threattec,https://api.lever.co/v0/postings/threattec?mode=json,open-apply-jobs,2024-01-25,2026-06-26,3340,,,
Thrive Therapies,thrive-therapies,https://jobs.lever.co/thrive-therapies,https://api.lever.co/v0/postings/thrive-therapies?mode=json,open-apply-jobs,2025-02-17,2026-06-22,4916,,,
Thrivecausemetics,thrivecausemetics,https://jobs.lever.co/thrivecausemetics,https://api.lever.co/v0/postings/thrivecausemetics?mode=json,open-apply-jobs,2025-05-29,2026-04-16,118,,,
Thuma,thuma,https://jobs.lever.co/thuma,https://api.lever.co/v0/postings/thuma?mode=json,open-apply-jobs,2024-07-22,2026-06-10,944,,,
Thunkable,thunkable,https://jobs.lever.co/thunkable,https://api.lever.co/v0/postings/thunkable?mode=json,open-apply-jobs,2024-12-17,2026-06-02,245,,,
Tildei,tildei,https://jobs.lever.co/tildei,https://api.lever.co/v0/postings/tildei?mode=json,open-apply-jobs,2026-06-08,2026-06-08,20,,,
Titanelectric Ga,titanelectric-ga,https://jobs.lever.co/titanelectric-ga,https://api.lever.co/v0/postings/titanelectric-ga?mode=json,open-apply-jobs,2023-10-04,2026-06-15,1446,,,
Titanwh,titanwh,https://jobs.lever.co/titanwh,https://api.lever.co/v0/postings/titanwh?mode=json,open-apply-jobs,2025-10-30,2026-06-25,1528,,,
Tkda,tkda,https://jobs.lever.co/tkda,https://api.lever.co/v0/postings/tkda?mode=json,open-apply-jobs,2024-11-22,2026-06-25,3247,,,
